,pIC50
WTPT-3,0.7347083374942853
nHBa,0.7332950430554519
SM1_Dzi,0.7124000971378252
RNCG,0.7034041497803707
nHBAcc_Lipinski,0.6968137713664656
ATS0m,0.6936944236213507
TDB6i,0.6817362005314143
nHBAcc2,0.6805250711881746
SM1_Dze,0.6802836519903864
nN,0.6783410483134652
nHBAcc,0.6746966709051995
WTPT-5,0.6718770891501392
GRAV-1,0.6702240241510232
GRAV-2,0.6674369933140109
GRAV-3,0.6662518046051076
PNSA-2,0.6652219367741935
GRAV-4,0.6643059662623849
WNSA-2,0.6637670441693491
GRAV-5,0.6598377206070741
SpDiam_Dzp,0.6597014208268183
ATS5m,0.658465258202581
GRAV-6,0.6580161299230445
ATS2m,0.6574701713354884
ATS1m,0.6523765259092489
GRAVH-1,0.6486565834572496
SM1_Dzv,0.647656098818745
SpMAD_Dzp,0.6472677819740186
WNSA-1,0.6471909137230192
AATS6i,0.6468893940990472
ATSC4i,0.6449771066936497
EE_Dzp,0.6445494513686565
SpMax_Dzp,0.6445494513686565
GRAVH-2,0.6444393333294341
SpAbs_Dzp,0.6440681485837726
SpAD_Dzp,0.6439991953948584
GRAVH-3,0.6427816382843681
SpDiam_Dzv,0.6417616385664037
SpMax5_Bhm,0.6366650495844915
IC3,0.6365788334167457
ATS6m,0.6364333715234266
MW,0.6354336897869474
DPSA-2,0.6354288581913757
SpMax6_Bhs,0.632169739473794
MOMI-X,0.632060693807769
EE_Dzv,0.6287869426558922
SpMax_Dzv,0.6287869426558922
SpAbs_Dzv,0.6285780221072684
SpAD_Dzv,0.6280063366544956
Tm,0.6270085689733751
nHBint9,0.6255833801785488
SpMAD_Dzv,0.6251006630692109
FNSA-2,0.6237248870039966
ATSC0c,0.6231670667272319
nHssNH,0.622948034272455
nssNH,0.622948034272455
ATS4m,0.6212931250214262
SssNH,0.6196345028102852
MLFER_L,0.6177356649840531
ETA_Eta_F,0.6159847815409147
sumI,0.6127414354538393
WPATH,0.6126645414532972
AATS8m,0.6122475654453889
MOMI-Y,0.6118936172832135
WPSA-3,0.6116314611287185
MDEN-22,0.6113794779454139
Vm,0.6092249257065507
ATS8m,0.6084674134459261
piPC1,0.6073558349158009
VR3_D,0.606518549094177
SHssNH,0.6062203369118669
EE_D,0.6057570519180561
SpMax_D,0.6057570519180561
SpAD_D,0.605757051918056
SpDiam_D,0.6050509223752836
nHBDon,0.6042206796744243
nHBd,0.6042206796744243
WNSA-3,0.6041516290092832
ATS5s,0.6029737537708132
Kier3,0.6004406085185618
GATS7v,0.6002522935068947
MOMI-R,0.6001229597338299
SpMin8_Bhp,0.5993933774240061
ETA_Beta_s,0.5990036411493186
Tp,0.5987710882723165
ETA_Beta,0.5986966015604819
ATS2s,0.5985426210888114
AATS8v,0.5983676360572695
SHBa,0.5982095011586382
SpDiam_Dt,0.5972228671904117
ECCEN,0.5964835113084087
nHBint2,0.5964174672202086
ATS7m,0.5963883630891932
SpAD_Dt,0.5953682919227173
EE_Dt,0.5953682919227172
SpMax_Dt,0.5953682919227172
Tv,0.5948249822309051
ETA_Alpha,0.5946519817926048
piPC2,0.5945781478938184
ETA_Eta_F_L,0.594084229142305
Kier2,0.5939935200475348
